category,emoji,ja,reading,ru,en
food,🍢,sweet たこ焼き,sweet-takoyaki [swet-takoyaki],такояки (sweet),takoyaki (sweet)
food,🍩,fried 照り焼き,fried-teriyaki [fried-teriyaki],тэриёки (fried),teriyaki (fried)
food,🥟,with_sauce うどん,with_sauce-udon [with_sauce-udon],удон (with_sauce),udon (with_sauce)
food,🍵,grilled カレー,grilled-karee [grilled-kare],карэ (grilled),curry (grilled)
food,🥘,おにぎり,onigiri [onigiri],онигири,onigiri
food,🍱,餃子,gyoza [gyoza],гёдза,gyoza
food,🍱,fresh うどん,fresh-udon [fresh-udon],удон (fresh),udon (fresh)
food,🥘,cold カレー,cold-karee [cold-kare],карэ (cold),curry (cold)
food,🍩,cold お好み焼き,cold-okonomiyaki [cold-okonomiyaki],okonomiyaki (cold),okonomiyaki (cold)
food,🍶,うどん,udon [udon],удон,udon
food,🍢,with_sauce 餃子,with_sauce-gyoza [with_sauce-gyoza],гёдза (with_sauce),gyoza (with_sauce)
food,🧋,with_sauce カレー,with_sauce-karee [with_sauce-kare],карэ (with_sauce),curry (with_sauce)
food,🥘,fresh 抹茶,fresh-matcha [fresh-matcha],маття (fresh),matcha (fresh)
food,🍡,roasted たこ焼き,roasted-takoyaki [roasted-takoyaki],такояки (roasted),takoyaki (roasted)
food,🍩,ラーメン,raamen [ramen],ра́мен,ramen
food,🍢,そば,soba [soba],соба,soba
food,🥟,mini 味噌汁,mini-misoshiru [mini-misoshiru],мисосиру (mini),miso soup (mini)
food,🧋,roasted 味噌汁,roasted-misoshiru [roasted-misoshiru],мисосиру (roasted),miso soup (roasted)
food,🍣,with_sauce ご飯,with_sauce-gohan [with_sauce-gohan],гохан (with_sauce),rice (with_sauce)
food,🧋,grilled おにぎり,grilled-onigiri [grilled-onigiri],онигири (grilled),onigiri (grilled)
food,🥮,grilled うどん,grilled-udon [grilled-udon],удон (grilled),udon (grilled)
food,🥮,餃子,gyoza [gyoza],гёдза,gyoza
food,🍱,sweet そば,sweet-soba [swet-soba],соба (sweet),soba (sweet)
food,🍜,カレー,karee [kare],карэ,curry
food,🍜,たこ焼き,takoyaki [takoyaki],такояки,takoyaki
food,🥢,照り焼き,teriyaki [teriyaki],тэриёки,teriyaki
food,🍮,spicy たまご,spicy-tamago [spicy-tamago],тамаго (spicy),egg (spicy)
food,🍰,spicy 照り焼き,spicy-teriyaki [spicy-teriyaki],тэриёки (spicy),teriyaki (spicy)
food,🍣,抹茶,matcha [matcha],маття,matcha
food,🍮,cold 餃子,cold-gyoza [cold-gyoza],гёдза (cold),gyoza (cold)
food,🍘,grilled おにぎり,grilled-onigiri [grilled-onigiri],онигири (grilled),onigiri (grilled)
food,🥪,grilled ラーメン,grilled-raamen [grilled-ramen],ра́мен (grilled),ramen (grilled)
food,🥟,fresh 焼き鳥,fresh-yakitori [fresh-yakitori],якитори (fresh),yakitori (fresh)
food,🍢,sweet うどん,sweet-udon [swet-udon],удон (sweet),udon (sweet)
food,🥪,抹茶,matcha [matcha],маття,matcha
food,🍜,たまご,tamago [tamago],тамаго,egg
food,🍵,和菓子,wagashi [wagashi],вагаси,wagashi
food,🍙,そば,soba [soba],соба,soba
food,🍰,照り焼き,teriyaki [teriyaki],тэриёки,teriyaki
food,🍰,ご飯,gohan [gohan],гохан,rice
food,🍱,fried 餃子,fried-gyoza [fried-gyoza],гёдза (fried),gyoza (fried)
food,🥮,sweet たまご,sweet-tamago [swet-tamago],тамаго (sweet),egg (sweet)
food,🍢,grilled 寿司,grilled-sushi [grilled-sushi],суши (grilled),sushi (grilled)
food,🍢,steamed 照り焼き,steamed-teriyaki [steamed-teriyaki],тэриёки (steamed),teriyaki (steamed)
food,🥪,寿司,sushi [sushi],суши,sushi
food,🍤,spicy 味噌汁,spicy-misoshiru [spicy-misoshiru],мисосиру (spicy),miso soup (spicy)
food,🍜,抹茶,matcha [matcha],маття,matcha
food,🥘,お弁当,obento [obento],обэнто,bento
food,🍩,fried 焼き鳥,fried-yakitori [fried-yakitori],якитори (fried),yakitori (fried)
food,🥟,spicy そば,spicy-soba [spicy-soba],соба (spicy),soba (spicy)
food,🍮,fried たこ焼き,fried-takoyaki [fried-takoyaki],такояки (fried),takoyaki (fried)
food,🍶,with_sauce 抹茶,with_sauce-matcha [with_sauce-matcha],маття (with_sauce),matcha (with_sauce)
food,🍶,cold たこ焼き,cold-takoyaki [cold-takoyaki],такояки (cold),takoyaki (cold)
food,🥟,with_sauce ご飯,with_sauce-gohan [with_sauce-gohan],гохан (with_sauce),rice (with_sauce)
food,🍵,mini たまご,mini-tamago [mini-tamago],тамаго (mini),egg (mini)
food,🥟,照り焼き,teriyaki [teriyaki],тэриёки,teriyaki
food,🍙,sweet 寿司,sweet-sushi [swet-sushi],суши (sweet),sushi (sweet)
food,🍰,カレー,karee [kare],карэ,curry
food,🥘,grilled 抹茶,grilled-matcha [grilled-matcha],маття (grilled),matcha (grilled)
food,🍙,grilled 照り焼き,grilled-teriyaki [grilled-teriyaki],тэриёки (grilled),teriyaki (grilled)
food,🍰,たこ焼き,takoyaki [takoyaki],такояки,takoyaki
food,🍮,うどん,udon [udon],удон,udon
food,🍰,spicy 味噌汁,spicy-misoshiru [spicy-misoshiru],мисосиру (spicy),miso soup (spicy)
food,🥪,roasted 刺身,roasted-sashimi [roasted-sashimi],сашими (roasted),sashimi (roasted)
food,🍶,お好み焼き,okonomiyaki [okonomiyaki],okonomiyaki,okonomiyaki
food,🍡,焼き鳥,yakitori [yakitori],якитори,yakitori
food,🥢,grilled たまご,grilled-tamago [grilled-tamago],тамаго (grilled),egg (grilled)
food,🥘,fresh 寿司,fresh-sushi [fresh-sushi],суши (fresh),sushi (fresh)
food,🍙,和菓子,wagashi [wagashi],вагаси,wagashi
food,🍢,cold ラーメン,cold-raamen [cold-ramen],ра́мен (cold),ramen (cold)
food,🥢,fried 抹茶,fried-matcha [fried-matcha],маття (fried),matcha (fried)
food,🍣,餃子,gyoza [gyoza],гёдза,gyoza
food,🍵,fried 寿司,fried-sushi [fried-sushi],суши (fried),sushi (fried)
food,🥟,カレー,karee [kare],карэ,curry
food,🥟,たまご,tamago [tamago],тамаго,egg
food,🍣,grilled カレー,grilled-karee [grilled-kare],карэ (grilled),curry (grilled)
food,🍵,焼き鳥,yakitori [yakitori],якитори,yakitori
food,🍛,spicy ラーメン,spicy-raamen [spicy-ramen],ра́мен (spicy),ramen (spicy)
food,🍛,grilled カレー,grilled-karee [grilled-kare],карэ (grilled),curry (grilled)
food,🧋,fresh 刺身,fresh-sashimi [fresh-sashimi],сашими (fresh),sashimi (fresh)
food,🍩,grilled そば,grilled-soba [grilled-soba],соба (grilled),soba (grilled)
food,🍙,roasted 照り焼き,roasted-teriyaki [roasted-teriyaki],тэриёки (roasted),teriyaki (roasted)
food,🍩,steamed 焼き鳥,steamed-yakitori [steamed-yakitori],якитори (steamed),yakitori (steamed)
food,🧋,照り焼き,teriyaki [teriyaki],тэриёки,teriyaki
food,🥪,天ぷら,tempura [tempura],темпура,tempura
food,🍰,焼き鳥,yakitori [yakitori],якитори,yakitori
food,🍙,spicy 天ぷら,spicy-tempura [spicy-tempura],темпура (spicy),tempura (spicy)
food,🍙,roasted 焼き鳥,roasted-yakitori [roasted-yakitori],якитори (roasted),yakitori (roasted)
food,🍤,たまご,tamago [tamago],тамаго,egg
food,🥪,fried 餃子,fried-gyoza [fried-gyoza],гёдза (fried),gyoza (fried)
food,🍱,steamed 寿司,steamed-sushi [steamed-sushi],суши (steamed),sushi (steamed)
food,🍣,ラーメン,raamen [ramen],ра́мен,ramen
food,🥟,天ぷら,tempura [tempura],темпура,tempura
food,🍢,mini 刺身,mini-sashimi [mini-sashimi],сашими (mini),sashimi (mini)
food,🍡,fried 和菓子,fried-wagashi [fried-wagashi],вагаси (fried),wagashi (fried)
food,🍙,お弁当,obento [obento],обэнто,bento
food,🍱,sweet 味噌汁,sweet-misoshiru [swet-misoshiru],мисосиру (sweet),miso soup (sweet)
food,🍡,mini たこ焼き,mini-takoyaki [mini-takoyaki],такояки (mini),takoyaki (mini)
food,🍘,ラーメン,raamen [ramen],ра́мен,ramen
food,🍛,fresh ラーメン,fresh-raamen [fresh-ramen],ра́мен (fresh),ramen (fresh)
food,🥟,fried たこ焼き,fried-takoyaki [fried-takoyaki],такояки (fried),takoyaki (fried)
food,🥪,with_sauce カレー,with_sauce-karee [with_sauce-kare],карэ (with_sauce),curry (with_sauce)
food,🍱,with_sauce 抹茶,with_sauce-matcha [with_sauce-matcha],маття (with_sauce),matcha (with_sauce)
food,🍡,fresh そば,fresh-soba [fresh-soba],соба (fresh),soba (fresh)
food,🍶,おにぎり,onigiri [onigiri],онигири,onigiri
food,🥮,with_sauce 焼き鳥,with_sauce-yakitori [with_sauce-yakitori],якитори (with_sauce),yakitori (with_sauce)
food,🍘,spicy ラーメン,spicy-raamen [spicy-ramen],ра́мен (spicy),ramen (spicy)
food,🥟,そば,soba [soba],соба,soba
food,🍵,fried お好み焼き,fried-okonomiyaki [fried-okonomiyaki],okonomiyaki (fried),okonomiyaki (fried)
food,🥮,fried おにぎり,fried-onigiri [fried-onigiri],онигири (fried),onigiri (fried)
food,🍤,fried ラーメン,fried-raamen [fried-ramen],ра́мен (fried),ramen (fried)
food,🍰,with_sauce 照り焼き,with_sauce-teriyaki [with_sauce-teriyaki],тэриёки (with_sauce),teriyaki (with_sauce)
food,🍩,spicy うどん,spicy-udon [spicy-udon],удон (spicy),udon (spicy)
food,🍛,spicy お好み焼き,spicy-okonomiyaki [spicy-okonomiyaki],okonomiyaki (spicy),okonomiyaki (spicy)
food,🍢,steamed うどん,steamed-udon [steamed-udon],удон (steamed),udon (steamed)
food,🍤,steamed 照り焼き,steamed-teriyaki [steamed-teriyaki],тэриёки (steamed),teriyaki (steamed)
food,🥮,with_sauce 焼き鳥,with_sauce-yakitori [with_sauce-yakitori],якитори (with_sauce),yakitori (with_sauce)
food,🍣,刺身,sashimi [sashimi],сашими,sashimi
food,🍡,roasted 味噌汁,roasted-misoshiru [roasted-misoshiru],мисосиру (roasted),miso soup (roasted)
food,🍙,カレー,karee [kare],карэ,curry
food,🍣,with_sauce 牛丼,with_sauce-gyuudon [with_sauce-gyudon],гюдон (with_sauce),gyudon (with_sauce)
food,🍢,mini 寿司,mini-sushi [mini-sushi],суши (mini),sushi (mini)
food,🍡,cold 和菓子,cold-wagashi [cold-wagashi],вагаси (cold),wagashi (cold)
food,🍩,照り焼き,teriyaki [teriyaki],тэриёки,teriyaki
food,🍶,mini うどん,mini-udon [mini-udon],удон (mini),udon (mini)
food,🍤,和菓子,wagashi [wagashi],вагаси,wagashi
food,🥢,たまご,tamago [tamago],тамаго,egg
food,🥪,steamed おにぎり,steamed-onigiri [steamed-onigiri],онигири (steamed),onigiri (steamed)
food,🍘,steamed たこ焼き,steamed-takoyaki [steamed-takoyaki],такояки (steamed),takoyaki (steamed)
food,🍜,fresh 抹茶,fresh-matcha [fresh-matcha],маття (fresh),matcha (fresh)
food,🥟,sweet 焼き鳥,sweet-yakitori [swet-yakitori],якитори (sweet),yakitori (sweet)
food,🥟,fried 焼き鳥,fried-yakitori [fried-yakitori],якитори (fried),yakitori (fried)
food,🍡,sweet ラーメン,sweet-raamen [swet-ramen],ра́мен (sweet),ramen (sweet)
food,🍢,sweet たこ焼き,sweet-takoyaki [swet-takoyaki],такояки (sweet),takoyaki (sweet)
food,🥘,天ぷら,tempura [tempura],темпура,tempura
food,🍜,with_sauce うどん,with_sauce-udon [with_sauce-udon],удон (with_sauce),udon (with_sauce)
food,🍮,うどん,udon [udon],удон,udon
food,🍤,steamed お弁当,steamed-obento [steamed-obento],обэнто (steamed),bento (steamed)
food,🍡,ラーメン,raamen [ramen],ра́мен,ramen
food,🥟,たまご,tamago [tamago],тамаго,egg
food,🍜,steamed 味噌汁,steamed-misoshiru [steamed-misoshiru],мисосиру (steamed),miso soup (steamed)
food,🍣,spicy 天ぷら,spicy-tempura [spicy-tempura],темпура (spicy),tempura (spicy)
food,🍘,うどん,udon [udon],удон,udon
food,🍜,fried お好み焼き,fried-okonomiyaki [fried-okonomiyaki],okonomiyaki (fried),okonomiyaki (fried)
food,🍣,sweet 照り焼き,sweet-teriyaki [swet-teriyaki],тэриёки (sweet),teriyaki (sweet)
food,🥮,天ぷら,tempura [tempura],темпура,tempura
food,🍛,fried うどん,fried-udon [fried-udon],удон (fried),udon (fried)
food,🍢,with_sauce 味噌汁,with_sauce-misoshiru [with_sauce-misoshiru],мисосиру (with_sauce),miso soup (with_sauce)
food,🥢,たまご,tamago [tamago],тамаго,egg
food,🍵,うどん,udon [udon],удон,udon
food,🍡,照り焼き,teriyaki [teriyaki],тэриёки,teriyaki
food,🍩,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🥢,grilled たまご,grilled-tamago [grilled-tamago],тамаго (grilled),egg (grilled)
food,🥘,sweet たこ焼き,sweet-takoyaki [swet-takoyaki],такояки (sweet),takoyaki (sweet)
food,🍜,味噌汁,misoshiru [misoshiru],мисосиру,miso soup
food,🍡,roasted たこ焼き,roasted-takoyaki [roasted-takoyaki],такояки (roasted),takoyaki (roasted)
food,🍛,spicy お弁当,spicy-obento [spicy-obento],обэнто (spicy),bento (spicy)
food,🥪,grilled ラーメン,grilled-raamen [grilled-ramen],ра́мен (grilled),ramen (grilled)
food,🍰,roasted そば,roasted-soba [roasted-soba],соба (roasted),soba (roasted)
food,🍵,和菓子,wagashi [wagashi],вагаси,wagashi
food,🍮,mini ラーメン,mini-raamen [mini-ramen],ра́мен (mini),ramen (mini)
food,🧋,fried カレー,fried-karee [fried-kare],карэ (fried),curry (fried)
food,🍰,sweet 焼き鳥,sweet-yakitori [swet-yakitori],якитори (sweet),yakitori (sweet)
food,🥟,mini お好み焼き,mini-okonomiyaki [mini-okonomiyaki],okonomiyaki (mini),okonomiyaki (mini)
food,🍮,sweet 刺身,sweet-sashimi [swet-sashimi],сашими (sweet),sashimi (sweet)
food,🍤,mini そば,mini-soba [mini-soba],соба (mini),soba (mini)
food,🍵,spicy たまご,spicy-tamago [spicy-tamago],тамаго (spicy),egg (spicy)
food,🧋,roasted 焼き鳥,roasted-yakitori [roasted-yakitori],якитори (roasted),yakitori (roasted)
food,🥟,そば,soba [soba],соба,soba
food,🥢,roasted 寿司,roasted-sushi [roasted-sushi],суши (roasted),sushi (roasted)
food,🧋,味噌汁,misoshiru [misoshiru],мисосиру,miso soup
food,🥮,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🥪,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🥘,たまご,tamago [tamago],тамаго,egg
food,🍣,spicy 照り焼き,spicy-teriyaki [spicy-teriyaki],тэриёки (spicy),teriyaki (spicy)
food,🍩,和菓子,wagashi [wagashi],вагаси,wagashi
food,🍤,with_sauce 餃子,with_sauce-gyoza [with_sauce-gyoza],гёдза (with_sauce),gyoza (with_sauce)
food,🍣,roasted お好み焼き,roasted-okonomiyaki [roasted-okonomiyaki],okonomiyaki (roasted),okonomiyaki (roasted)
food,🍛,うどん,udon [udon],удон,udon
food,🍤,カレー,karee [kare],карэ,curry
food,🍣,steamed お好み焼き,steamed-okonomiyaki [steamed-okonomiyaki],okonomiyaki (steamed),okonomiyaki (steamed)
food,🍜,天ぷら,tempura [tempura],темпура,tempura
food,🍰,お弁当,obento [obento],обэнто,bento
food,🍵,steamed 牛丼,steamed-gyuudon [steamed-gyudon],гюдон (steamed),gyudon (steamed)
food,🍡,fried おにぎり,fried-onigiri [fried-onigiri],онигири (fried),onigiri (fried)
food,🥪,天ぷら,tempura [tempura],темпура,tempura
food,🍘,ラーメン,raamen [ramen],ра́мен,ramen
food,🥢,grilled たこ焼き,grilled-takoyaki [grilled-takoyaki],такояки (grilled),takoyaki (grilled)
food,🍜,grilled ご飯,grilled-gohan [grilled-gohan],гохан (grilled),rice (grilled)
food,🍱,spicy うどん,spicy-udon [spicy-udon],удон (spicy),udon (spicy)
food,🍰,cold ラーメン,cold-raamen [cold-ramen],ра́мен (cold),ramen (cold)
food,🍱,cold 餃子,cold-gyoza [cold-gyoza],гёдза (cold),gyoza (cold)
food,🥢,grilled お弁当,grilled-obento [grilled-obento],обэнто (grilled),bento (grilled)
food,🍶,ご飯,gohan [gohan],гохан,rice
food,🍵,焼き鳥,yakitori [yakitori],якитори,yakitori
food,🍛,grilled 抹茶,grilled-matcha [grilled-matcha],маття (grilled),matcha (grilled)
food,🍵,cold 牛丼,cold-gyuudon [cold-gyudon],гюдон (cold),gyudon (cold)
food,🥘,with_sauce お好み焼き,with_sauce-okonomiyaki [with_sauce-okonomiyaki],okonomiyaki (with_sauce),okonomiyaki (with_sauce)
food,🥘,和菓子,wagashi [wagashi],вагаси,wagashi
food,🍢,fresh 焼き鳥,fresh-yakitori [fresh-yakitori],якитори (fresh),yakitori (fresh)
food,🍵,味噌汁,misoshiru [misoshiru],мисосиру,miso soup
food,🍙,カレー,karee [kare],карэ,curry
food,🍶,焼き鳥,yakitori [yakitori],якитори,yakitori
food,🍙,sweet お好み焼き,sweet-okonomiyaki [swet-okonomiyaki],okonomiyaki (sweet),okonomiyaki (sweet)
food,🍶,grilled 寿司,grilled-sushi [grilled-sushi],суши (grilled),sushi (grilled)
food,🍵,焼き鳥,yakitori [yakitori],якитори,yakitori
food,🍛,sweet ご飯,sweet-gohan [swet-gohan],гохан (sweet),rice (sweet)
food,🍛,steamed そば,steamed-soba [steamed-soba],соба (steamed),soba (steamed)
food,🍛,sweet カレー,sweet-karee [swet-kare],карэ (sweet),curry (sweet)
food,🍘,spicy ご飯,spicy-gohan [spicy-gohan],гохан (spicy),rice (spicy)
food,🥢,steamed ご飯,steamed-gohan [steamed-gohan],гохан (steamed),rice (steamed)
food,🍛,味噌汁,misoshiru [misoshiru],мисосиру,miso soup
food,🍮,spicy 天ぷら,spicy-tempura [spicy-tempura],темпура (spicy),tempura (spicy)
food,🍮,steamed 和菓子,steamed-wagashi [steamed-wagashi],вагаси (steamed),wagashi (steamed)
food,🍛,寿司,sushi [sushi],суши,sushi
food,🍤,ラーメン,raamen [ramen],ра́мен,ramen
food,🍤,fresh 抹茶,fresh-matcha [fresh-matcha],маття (fresh),matcha (fresh)
food,🍮,fried 寿司,fried-sushi [fried-sushi],суши (fried),sushi (fried)
food,🧋,grilled たこ焼き,grilled-takoyaki [grilled-takoyaki],такояки (grilled),takoyaki (grilled)
food,🧋,お好み焼き,okonomiyaki [okonomiyaki],okonomiyaki,okonomiyaki
food,🥪,steamed 天ぷら,steamed-tempura [steamed-tempura],темпура (steamed),tempura (steamed)
food,🧋,お弁当,obento [obento],обэнто,bento
food,🍣,with_sauce おにぎり,with_sauce-onigiri [with_sauce-onigiri],онигири (with_sauce),onigiri (with_sauce)
food,🍙,spicy お弁当,spicy-obento [spicy-obento],обэнто (spicy),bento (spicy)
food,🍰,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🍜,味噌汁,misoshiru [misoshiru],мисосиру,miso soup
food,🥪,fresh たまご,fresh-tamago [fresh-tamago],тамаго (fresh),egg (fresh)
food,🍶,spicy 抹茶,spicy-matcha [spicy-matcha],маття (spicy),matcha (spicy)
food,🍡,寿司,sushi [sushi],суши,sushi
food,🍮,fresh お好み焼き,fresh-okonomiyaki [fresh-okonomiyaki],okonomiyaki (fresh),okonomiyaki (fresh)
food,🍮,そば,soba [soba],соба,soba
food,🍛,roasted たこ焼き,roasted-takoyaki [roasted-takoyaki],такояки (roasted),takoyaki (roasted)
food,🍡,with_sauce 照り焼き,with_sauce-teriyaki [with_sauce-teriyaki],тэриёки (with_sauce),teriyaki (with_sauce)
food,🍘,fresh ラーメン,fresh-raamen [fresh-ramen],ра́мен (fresh),ramen (fresh)
food,🍱,steamed 照り焼き,steamed-teriyaki [steamed-teriyaki],тэриёки (steamed),teriyaki (steamed)
food,🍛,spicy 抹茶,spicy-matcha [spicy-matcha],маття (spicy),matcha (spicy)
food,🍱,おにぎり,onigiri [onigiri],онигири,onigiri
food,🧋,spicy そば,spicy-soba [spicy-soba],соба (spicy),soba (spicy)
food,🍡,with_sauce お弁当,with_sauce-obento [with_sauce-obento],обэнто (with_sauce),bento (with_sauce)
food,🍢,with_sauce 刺身,with_sauce-sashimi [with_sauce-sashimi],сашими (with_sauce),sashimi (with_sauce)
food,🍣,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🍛,steamed 天ぷら,steamed-tempura [steamed-tempura],темпура (steamed),tempura (steamed)
food,🍰,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🍡,grilled 抹茶,grilled-matcha [grilled-matcha],маття (grilled),matcha (grilled)
food,🥮,sweet お好み焼き,sweet-okonomiyaki [swet-okonomiyaki],okonomiyaki (sweet),okonomiyaki (sweet)
food,🥟,お好み焼き,okonomiyaki [okonomiyaki],okonomiyaki,okonomiyaki
food,🍛,grilled 餃子,grilled-gyoza [grilled-gyoza],гёдза (grilled),gyoza (grilled)
food,🍛,mini たこ焼き,mini-takoyaki [mini-takoyaki],такояки (mini),takoyaki (mini)
food,🍶,ご飯,gohan [gohan],гохан,rice
food,🍣,味噌汁,misoshiru [misoshiru],мисосиру,miso soup
food,🥮,fresh 焼き鳥,fresh-yakitori [fresh-yakitori],якитори (fresh),yakitori (fresh)
food,🍜,カレー,karee [kare],карэ,curry
food,🍙,fried ラーメン,fried-raamen [fried-ramen],ра́мен (fried),ramen (fried)
food,🍡,牛丼,gyuudon [gyudon],гюдон,gyudon
food,🍜,抹茶,matcha [matcha],маття,matcha
food,🍜,fried 焼き鳥,fried-yakitori [fried-yakitori],якитори (fried),yakitori (fried)
food,🥘,roasted お好み焼き,roasted-okonomiyaki [roasted-okonomiyaki],okonomiyaki (roasted),okonomiyaki (roasted)
food,🥟,roasted お好み焼き,roasted-okonomiyaki [roasted-okonomiyaki],okonomiyaki (roasted),okonomiyaki (roasted)
food,🍘,fresh ご飯,fresh-gohan [fresh-gohan],гохан (fresh),rice (fresh)
food,🧋,焼き鳥,yakitori [yakitori],якитори,yakitori
food,🍣,grilled 照り焼き,grilled-teriyaki [grilled-teriyaki],тэриёки (grilled),teriyaki (grilled)
food,🍶,抹茶,matcha [matcha],маття,matcha
food,🍮,お弁当,obento [obento],обэнто,bento
food,🍘,steamed 和菓子,steamed-wagashi [steamed-wagashi],вагаси (steamed),wagashi (steamed)
food,🥪,grilled 天ぷら,grilled-tempura [grilled-tempura],темпура (grilled),tempura (grilled)
